200 1734111679 0,558481 0,800000 0,463739 0,590164 0,251915
203 1734111679 0,605065 0,400000 0,605042 0,605088 0,146441
188 1734111679 0,539037 0,400000 0,466920 0,611153 0,118305
200 1734111680 0,558481 0,800000 0,463739 0,590164 0,251915
203 1734111680 0,605065 0,400000 0,605042 0,605088 0,146441
188 1734111680 0,539037 0,400000 0,466920 0,611153 0,118305
200 1734111681 0,558481 0,800000 0,463739 0,590164 0,251915
203 1734111681 0,605065 0,400000 0,605042 0,605088 0,146441
188 1734111681 0,539037 0,400000 0,466920 0,611153 0,118305
221 1734111682 17,391910 0,200000 17,391910 17,391910 60,495707
209 1734111682 0,276774 0,600000 0,247367 0,292063 0,046222
200 1734111682 0,517722 0,400000 0,464821 0,570623 0,108334
206 1734111682 0,301506 0,200000 0,301506 0,301506 0,018181
218 1734111682 5,005886 0,600000 5,001870 5,013830 15,035359
212 1734111682 16,900692 0,200000 16,900692 16,900692 57,126676
224 1734111682 0,567898 0,200000 0,567898 0,567898 0,064502
215 1734111682 17,146496 0,400000 16,900981 17,392012 117,625047
221 1734111683 17,391910 0,200000 17,391910 17,391910 60,495707
209 1734111683 0,276774 0,600000 0,247367 0,292063 0,046222
200 1734111683 0,517722 0,400000 0,464821 0,570623 0,108334
206 1734111683 0,301506 0,200000 0,301506 0,301506 0,018181
218 1734111683 5,005886 0,600000 5,001870 5,013830 15,035359
212 1734111683 16,900692 0,200000 16,900692 16,900692 57,126676
224 1734111683 0,567898 0,200000 0,567898 0,567898 0,064502
215 1734111683 17,146496 0,400000 16,900981 17,392012 117,625047
221 1734111684 17,391910 0,200000 17,391910 17,391910 60,495707
209 1734111684 0,276774 0,600000 0,247367 0,292063 0,046222
200 1734111684 0,517722 0,400000 0,464821 0,570623 0,108334
206 1734111684 0,301506 0,200000 0,301506 0,301506 0,018181
218 1734111684 5,005886 0,600000 5,001870 5,013830 15,035359
212 1734111684 16,900692 0,200000 16,900692 16,900692 57,126676
224 1734111684 0,567898 0,200000 0,567898 0,567898 0,064502
