951 1733950193 22414,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950194 22414,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950195 22414,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950196 22414,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950197 13858,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950198 13858,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950199 13858,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950200 13858,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950201 13858,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950202 2502,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950203 2502,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950204 2502,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950205 2502,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950206 2502,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950207 1330,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950208 1330,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950209 1330,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950210 1330,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950211 1330,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950212 15826,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950213 15826,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950214 15826,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950215 15826,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950216 15826,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950217 7254,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950218 7254,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950219 7254,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950220 7254,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950221 7254,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950222 15916,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950223 15916,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950224 15916,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950225 15916,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950226 15916,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950227 12226,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950228 12226,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950229 12226,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950230 12226,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950231 12226,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950232 2887,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950233 2887,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950234 2887,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950235 2887,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950236 2887,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950237 30838,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950238 30838,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950239 30838,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950240 30838,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950241 30838,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950242 3356,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950243 3356,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950244 3356,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950245 3356,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950246 3356,000000 -1,000000 -101,000000 0,000000 0,000000
951 1733950247 5100,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950248 5100,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950249 5100,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950250 5100,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950251 5100,600000 -1,000000 -101,000000 0,000000 0,000000
951 1733950252 2959,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950253 2959,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950254 2959,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950255 2959,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950256 2959,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950257 1703,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950258 1703,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950259 1703,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950260 1703,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950261 1703,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950262 25944,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950263 25944,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950264 25944,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950265 25944,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950266 25944,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950267 29179,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950268 29179,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950269 29179,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950270 29179,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950271 29179,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950272 18147,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950273 18147,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950274 18147,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950275 18147,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950276 18147,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950277 11808,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950278 11808,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950279 11808,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950280 11808,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950281 11808,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950282 8013,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950283 8013,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950284 8013,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950285 8013,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950286 8013,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950287 1379,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950288 1379,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950289 1379,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950290 1379,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950291 1379,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950292 2068,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950293 2068,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950294 2068,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950295 2068,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950296 2068,800000 -1,000000 -101,000000 0,000000 0,000000
951 1733950297 35342,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950298 35342,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950299 35342,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950300 35342,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950301 35342,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950302 11285,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950303 11285,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950304 11285,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950305 11285,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950306 11285,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950307 18964,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950308 18964,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950309 18964,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950310 18964,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950311 18964,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950312 5042,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950313 5042,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950314 5042,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950315 5042,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950316 5042,200000 -1,000000 -101,000000 0,000000 0,000000
951 1733950317 7411,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950318 7411,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950319 7411,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950320 7411,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950321 7411,400000 -1,000000 -101,000000 0,000000 0,000000
951 1733950322 4858,600000 -1,000000 -101,000000 0,000000 0,000000
